hour,time_window,tariff_tier,price_per_kwh_usd
0,00:00 - 01:00,Off-Peak,0.08
1,01:00 - 02:00,Off-Peak,0.08
2,02:00 - 03:00,Off-Peak,0.08
3,03:00 - 04:00,Off-Peak,0.08
4,04:00 - 05:00,Off-Peak,0.08
5,05:00 - 06:00,Off-Peak,0.08
6,06:00 - 07:00,Off-Peak,0.08
7,07:00 - 08:00,Standard,0.15
8,08:00 - 09:00,Standard,0.15
9,09:00 - 10:00,Standard,0.15
10,10:00 - 11:00,Standard,0.15
11,11:00 - 12:00,Standard,0.15
12,12:00 - 13:00,Standard,0.15
13,13:00 - 14:00,Standard,0.15
14,14:00 - 15:00,Peak,0.28
15,15:00 - 16:00,Peak,0.28
16,16:00 - 17:00,Peak,0.28
17,17:00 - 18:00,Peak,0.28
18,18:00 - 19:00,Peak,0.28
19,19:00 - 20:00,Peak,0.28
20,20:00 - 21:00,Standard,0.16
21,21:00 - 22:00,Standard,0.16
22,22:00 - 23:00,Standard,0.14
23,23:00 - 00:00,Off-Peak,0.08
