timestamp,zone_id,zone_name,wifi_devices,estimated_occupancy,temperature_c,humidity_pct,power_kw,hvac_status,setpoint_c
2026-08-25 23:19:44,zone_1,Classroom 1,0,0,25.68,58.5,5.68,ACTIVE,23.0
2026-08-25 23:19:44,zone_2,Classroom 2,0,0,25.99,59.4,6.04,ACTIVE,23.0
2026-08-25 23:19:44,zone_3,Lab 1,1,1,26.19,57.7,8.94,ACTIVE,23.0
2026-08-25 23:19:44,zone_4,Lab 2,1,1,25.86,57.2,8.39,ACTIVE,23.0
2026-08-25 23:19:44,zone_5,Office 1,0,0,24.08,58.4,2.47,ACTIVE,23.0
2026-08-25 23:19:44,zone_6,Office 2,0,0,24.37,59.5,2.69,ACTIVE,23.0
2026-08-25 23:19:44,zone_7,Meeting Room,0,0,24.29,63.2,3.34,ACTIVE,23.0
2026-08-25 23:19:44,zone_8,Server Room,0,0,21.91,53.8,4.5,ACTIVE,23.0
2026-08-25 23:19:44,zone_9,Corridor,3,3,26.14,54.7,2.96,ACTIVE,23.0
2026-08-25 23:19:44,zone_10,Auditorium,1,1,25.6,62.2,16.47,ACTIVE,23.0
2026-08-25 23:34:44,zone_1,Classroom 1,1,1,25.77,62.6,5.82,ACTIVE,23.0
2026-08-25 23:34:44,zone_2,Classroom 2,0,0,25.27,56.7,5.2,ACTIVE,23.0
2026-08-25 23:34:44,zone_3,Lab 1,0,0,23.89,59.3,5.07,ACTIVE,23.0
2026-08-25 23:34:44,zone_4,Lab 2,0,0,25.76,62.3,8.15,ACTIVE,23.0
2026-08-25 23:34:44,zone_5,Office 1,0,0,25.09,50.2,3.23,ACTIVE,23.0
2026-08-25 23:34:44,zone_6,Office 2,1,1,24.57,61.2,2.89,ACTIVE,23.0
2026-08-25 23:34:44,zone_7,Meeting Room,1,1,22.8,50.9,2.15,ACTIVE,23.0
2026-08-25 23:34:44,zone_8,Server Room,0,0,23.61,52.3,5.76,ACTIVE,23.0
2026-08-25 23:34:44,zone_9,Corridor,2,2,25.41,52.2,2.55,ACTIVE,23.0
2026-08-25 23:34:44,zone_10,Auditorium,1,1,27.43,60.9,21.28,ACTIVE,23.0
2026-08-25 23:49:44,zone_1,Classroom 1,1,1,24.83,50.1,4.73,ACTIVE,23.0
2026-08-25 23:49:44,zone_2,Classroom 2,0,0,23.43,51.3,3.05,ACTIVE,23.0
2026-08-25 23:49:44,zone_3,Lab 1,0,0,26.7,62.8,9.7,ACTIVE,23.0
2026-08-25 23:49:44,zone_4,Lab 2,1,1,24.55,51.2,6.23,ACTIVE,23.0
2026-08-25 23:49:44,zone_5,Office 1,1,1,22.58,55.1,1.71,ACTIVE,23.0
2026-08-25 23:49:44,zone_6,Office 2,0,0,22.74,51.8,1.65,ACTIVE,23.0
2026-08-25 23:49:44,zone_7,Meeting Room,1,1,25.61,62.3,4.66,ACTIVE,23.0
2026-08-25 23:49:44,zone_8,Server Room,2,2,22.89,52.5,5.62,ACTIVE,23.0
2026-08-25 23:49:44,zone_9,Corridor,2,2,26.28,53.0,3.03,ACTIVE,23.0
2026-08-25 23:49:44,zone_10,Auditorium,1,1,25.87,54.7,17.4,ACTIVE,23.0
2026-08-26 00:04:44,zone_1,Classroom 1,0,0,25.47,63.3,5.44,ACTIVE,23.0
2026-08-26 00:04:44,zone_2,Classroom 2,1,1,24.89,54.3,4.8,ACTIVE,23.0
2026-08-26 00:04:44,zone_3,Lab 1,1,1,25.61,50.3,7.98,ACTIVE,23.0
2026-08-26 00:04:44,zone_4,Lab 2,1,1,25.84,54.6,8.36,ACTIVE,23.0
2026-08-26 00:04:44,zone_5,Office 1,0,0,23.17,56.9,1.78,ACTIVE,23.0
2026-08-26 00:04:44,zone_6,Office 2,0,0,23.45,62.2,1.99,ACTIVE,23.0
2026-08-26 00:04:44,zone_7,Meeting Room,1,1,24.08,53.9,3.19,ACTIVE,23.0
2026-08-26 00:04:44,zone_8,Server Room,0,0,22.47,51.4,4.5,ACTIVE,23.0
2026-08-26 00:04:44,zone_9,Corridor,3,3,27.08,60.3,3.44,ACTIVE,23.0
2026-08-26 00:04:44,zone_10,Auditorium,1,1,27.94,57.9,21.28,ACTIVE,23.0
2026-08-26 00:19:44,zone_1,Classroom 1,0,0,24.39,53.8,4.17,ACTIVE,23.0
2026-08-26 00:19:44,zone_2,Classroom 2,0,0,25.3,60.6,5.24,ACTIVE,23.0
2026-08-26 00:19:44,zone_3,Lab 1,1,1,25.19,61.4,7.29,ACTIVE,23.0
2026-08-26 00:19:44,zone_4,Lab 2,1,1,25.87,51.5,8.41,ACTIVE,23.0
2026-08-26 00:19:44,zone_5,Office 1,0,0,25.24,61.3,3.34,ACTIVE,23.0
2026-08-26 00:19:44,zone_6,Office 2,0,0,24.59,56.7,2.85,ACTIVE,23.0
2026-08-26 00:19:44,zone_7,Meeting Room,0,0,24.15,64.8,3.21,ACTIVE,23.0
2026-08-26 00:19:44,zone_8,Server Room,1,1,22.6,61.1,5.06,ACTIVE,23.0
2026-08-26 00:19:44,zone_9,Corridor,0,0,26.64,51.3,3.2,ACTIVE,23.0
2026-08-26 00:19:44,zone_10,Auditorium,1,1,25.47,60.7,16.02,ACTIVE,23.0
2026-08-26 00:34:44,zone_1,Classroom 1,1,1,24.5,64.4,4.34,ACTIVE,23.0
2026-08-26 00:34:44,zone_2,Classroom 2,1,1,24.01,63.5,3.77,ACTIVE,23.0
2026-08-26 00:34:44,zone_3,Lab 1,1,1,26.71,61.5,9.79,ACTIVE,23.0
2026-08-26 00:34:44,zone_4,Lab 2,0,0,25.91,62.3,8.4,ACTIVE,23.0
2026-08-26 00:34:44,zone_5,Office 1,0,0,22.76,51.1,1.65,ACTIVE,23.0
2026-08-26 00:34:44,zone_6,Office 2,0,0,22.67,52.7,1.65,ACTIVE,23.0
2026-08-26 00:34:44,zone_7,Meeting Room,1,1,23.75,53.5,2.87,ACTIVE,23.0
2026-08-26 00:34:44,zone_8,Server Room,1,1,23.89,60.5,6.9,ACTIVE,23.0
2026-08-26 00:34:44,zone_9,Corridor,3,3,27.37,64.7,3.44,ACTIVE,23.0
2026-08-26 00:34:44,zone_10,Auditorium,1,1,27.33,59.6,21.28,ACTIVE,23.0
2026-08-26 00:49:44,zone_1,Classroom 1,1,1,25.39,60.9,5.38,ACTIVE,23.0
2026-08-26 00:49:44,zone_2,Classroom 2,1,1,24.52,56.0,4.36,ACTIVE,23.0
2026-08-26 00:49:44,zone_3,Lab 1,1,1,25.14,64.8,7.2,ACTIVE,23.0
2026-08-26 00:49:44,zone_4,Lab 2,0,0,25.5,58.3,7.72,ACTIVE,23.0
2026-08-26 00:49:44,zone_5,Office 1,1,1,23.24,52.6,1.89,ACTIVE,23.0
